Feature,Coefficient,Class
Course_9670,0.09160168672630288,Graduate
Course_9773,-0.020398010109104737,Graduate
Course_9853,-0.93379449646529,Graduate
Course_9991,-0.2573896705742633,Graduate
Previous qualification_1,-0.30433537796111815,Graduate
Previous qualification_2,-0.7806839392906719,Graduate
Previous qualification_3,0.019537935667644134,Graduate
Previous qualification_4,-0.10866799550777936,Graduate
Previous qualification_5,-0.00023357556450460552,Graduate
Previous qualification_6,0.1498968543634333,Graduate
Previous qualification_9,-0.03590656465878952,Graduate
Previous qualification_10,0.05227726630782015,Graduate
Previous qualification_12,0.261256616857392,Graduate
Previous qualification_14,-0.0014602260722227807,Graduate
Previous qualification_15,0.23678637569948982,Graduate
Previous qualification_19,-0.018504853893584423,Graduate
Previous qualification_38,0.07052827870411625,Graduate
Previous qualification_39,-0.1893038291224733,Graduate
Previous qualification_40,-0.03723563902858586,Graduate
Previous qualification_42,0.20952893356157087,Graduate
Previous qualification_43,0.3877428861314552,Graduate
Nacionality_1,-0.07141135950212794,Graduate
Nacionality_2,0.1424300502370884,Graduate
Nacionality_6,-0.15148016907809708,Graduate
Nacionality_11,0.3775218067738942,Graduate
Nacionality_13,0.03425276331707194,Graduate
Nacionality_14,0.16060398024817688,Graduate
Nacionality_21,-0.039113692420513206,Graduate
Nacionality_22,0.12624792842061516,Graduate
Nacionality_24,0.06669253923696151,Graduate
Nacionality_25,-0.008526783193089636,Graduate
Nacionality_26,0.7723058115045581,Graduate
Nacionality_32,-0.012872314387543998,Graduate
Nacionality_41,0.0767560155429126,Graduate
Nacionality_62,-0.030142701359288707,Graduate
Nacionality_100,-0.705953613926092,Graduate
Nacionality_101,-0.12404286520918917,Graduate
Nacionality_103,0.015094786394787514,Graduate
Nacionality_105,-0.5920178705325131,Graduate
Nacionality_108,-0.12512116587440275,Graduate
Mother's qualification_1,-0.17682580680386029,Graduate
Mother's qualification_2,0.15624832110672443,Graduate
Mother's qualification_3,-0.0716744202353627,Graduate
Mother's qualification_4,0.3313743221297035,Graduate
Mother's qualification_5,-0.26125812053333564,Graduate
Mother's qualification_6,0.376022327502625,Graduate
Mother's qualification_9,0.2249644896132778,Graduate
Mother's qualification_10,-0.2220486361893849,Graduate
Mother's qualification_11,-0.15179264293282346,Graduate
Mother's qualification_12,-0.1958246245848842,Graduate
